document_path,notes,parties,in_support_of,pro_threshold_test,pro_software_patents,anti_software_patents,patent_trolls_issue
2014_WL_262088.pdf,brief for petitioner,Alice Corportion Pty. Ltd. ,,,,,
2014_WL_295764.pdf,,international association for the protection of intellectual property,neither party,yes,yes,,
2014_WL_295765.pdf,,"Balsam Hill LLC; Chicos FAS, Inc.;Crutchfield Corporation; Dillards, Inc.; Express, Inc.;Food Marketing Institute; Hasbro, Inc.; JAND, Inc. d/b/a Warby Parker; J. Crew Group, Inc.; Jill Acquisition LLC; L Brands, Inc.; L.L. Bean, Inc.; Macys, Inc.; Main Sequence Technology, Inc.; National Restaurant Association; Newegg, Inc.; Overstock.com, Inc.; Parke-Bell Ltd. Inc. d/b/a Touch of Class Catalog; Presidio International, Inc. d/b/a A/X Armani Exchange; QVC, Inc.; Retail Litigation Center, Inc.; SkyMall, Inc.; and The Talbots, Inc.",,,,yes,"yes, concerned about"
2014_WL_295766.pdf,,PROFESSOR LEE HOLLAAR AND PETER K. TRZYNA,neither party,,yes,,
2014_WL_295767.pdf,,PAUL R. MICHE,neither party,,yes,,
2014_WL_316713.pdf,,SIGRAM SCHINDLER BETEILIGUNGSGESELLSCHAFT mb,neither party,yes; pro adopting mayo test,,,
2014_WL_411287.pdf,notes equivalence of hardware and software,IEEE-USA,neither party,,yes,,
2014_WL_458989.pdf,,New York INTELLECTUAL PROPERTY LAW ASSOCIATION,NEITHER PARTY,,yes,,
2014_WL_491244.pdf,pro objective preemption as test; ,"Advanced Biological Laboratories, SA",Petitioner,pro objective preemption test;,yes,,
2014_WL_828022.pdf,pro machine-or-transformation test,"SOFTWARE FREEDOM LAW CENTER, FREE SOFTWARE FOUNDATION AND OPEN SOURCE INITIATIVE",Respondents,,,yes,
2014_WL_828032.pdf,"pro-software patent, but the claims in this case are not eligible","BSA I THE SOFTWARE ALLIANCE  l The members of the BSA include Adobe, Apple, ANSYS, Autodesk, AVG, Bentley Systems, CA Technologies, CNC/Mastercam, Dell, IBM, Intel, Intuit, McAfee, Microsoft, Minitab, Oracle, PTC, Rockwell Automation, Rosetta Stone, Siemens PLM, Symantec, Tekla, and The Mathworks",respondent,,"yes, strongly",,
2014_WL_828034.pdf,"opposed generally to ""innovations in the manipulation of non-physical concepts""",UNITED STATES,RESPONDENTS,,,"yes, generally opposed",
2014_WL_880952.pdf,,"LAW, BUSINESS, AND ECONOMICS SCHOLARS; professors and scholars who teach and write on legal and economic issues and are concerned about the role of patent law in promoting technological innovation. They are Timothy K. Armstrong, James E. Bessen, Michele Boldrin, Irene Calboli, Brian W. Carver, Ralph D. Clifford, Wesley M. Cohen, Eric Goldman, Brad A. Greenberg, Bronwyn H. Hall, Christian Helmers, Karim R. Lakhani, David K. Levine, Brian J. Love, Eric S. Maskin, Michael J. Meurer, Shawn P. Miller, Connie Davis Nichols, Tyler T. Ochoa, Jorge R. Roig, Matthew Sag, F. M. Scherer, Jason M. Schultz, Katherine J. Strandberg, Alexander Tabarrok, and Eric von Hippe",RESPONDENTS,,limited,,"yes, concerned about"
2014_WL_880953.pdf,,Clearing House Association L.L.C. and Financial Services Roundtable (Commercial banks),Respondents,yes,,,
2014_WL_880954.pdf,,AMERICAN ANTITRUST INSTITUTE,RESPONDENTS,,,,
